荷主ID,荷主名,倉庫ID,倉庫名,ブロックID,ブロック名称,ブロック略称,列（段）,連（列）,段（連）,業務区分,引当条件,取引先名,ロケバーコード,ロケ,梱包形態ID,梱包形態名称,ハイネス
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,17,卸,指定した業態に優先して取り置く,,*29000203117*,B-002-031-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,17,卸,指定した業態に優先して取り置く,,*29000303117*,B-003-031-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,18,卸,指定した業態に優先して取り置く,,*29000103118*,B-001-031-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,18,卸,指定した業態に優先して取り置く,,*29000203118*,B-002-031-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,18,卸,指定した業態に優先して取り置く,,*29000303118*,B-003-031-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,19,卸,指定した業態に優先して取り置く,,*29000103119*,B-001-031-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,19,卸,指定した業態に優先して取り置く,,*29000203119*,B-002-031-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,19,卸,指定した業態に優先して取り置く,,*29000303119*,B-003-031-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,22,卸,指定した業態に優先して取り置く,,*29000103122*,B-001-031-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,22,卸,指定した業態に優先して取り置く,,*29000203122*,B-002-031-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,22,卸,指定した業態に優先して取り置く,,*29000303122*,B-003-031-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,23,卸,指定した業態に優先して取り置く,,*29000103123*,B-001-031-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,23,卸,指定した業態に優先して取り置く,,*29000203123*,B-002-031-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,23,卸,指定した業態に優先して取り置く,,*29000303123*,B-003-031-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,24,卸,指定した業態に優先して取り置く,,*29000103124*,B-001-031-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,24,卸,指定した業態に優先して取り置く,,*29000203124*,B-002-031-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,24,卸,指定した業態に優先して取り置く,,*29000303124*,B-003-031-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,25,卸,指定した業態に優先して取り置く,,*29000103125*,B-001-031-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,25,卸,指定した業態に優先して取り置く,,*29000203125*,B-002-031-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,25,卸,指定した業態に優先して取り置く,,*29000303125*,B-003-031-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,26,卸,指定した業態に優先して取り置く,,*29000103126*,B-001-031-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,26,卸,指定した業態に優先して取り置く,,*29000203126*,B-002-031-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,26,卸,指定した業態に優先して取り置く,,*29000303126*,B-003-031-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,27,卸,指定した業態に優先して取り置く,,*29000103127*,B-001-031-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,27,卸,指定した業態に優先して取り置く,,*29000203127*,B-002-031-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,27,卸,指定した業態に優先して取り置く,,*29000303127*,B-003-031-27,3,ケース,H
